corridor_id,date,week_number,block_section,line,window_start,window_end,duration_mins,traffic_density,movements_that_day
COA-1,2026-09-01,1,STN_A-STN_B,UP_MAIN,2026-09-01 18:47,2026-09-01 22:47,240,LOW,20
COA-2,2026-09-01,1,STN_A-STN_B,DN_MAIN,2026-09-01 08:28,2026-09-01 12:28,240,LOW,20
COA-3,2026-09-01,1,STN_B-STN_C,UP_MAIN,2026-09-01 09:37,2026-09-01 13:37,240,MEDIUM,24
COA-4,2026-09-01,1,STN_B-STN_C,DN_MAIN,2026-09-01 06:05,2026-09-01 09:03,178,MEDIUM,24
COA-5,2026-09-01,1,STN_C-STN_D,UP_MAIN,2026-09-01 02:38,2026-09-01 06:38,240,LOW,23
COA-6,2026-09-01,1,STN_C-STN_D,DN_MAIN,2026-09-01 15:44,2026-09-01 19:44,240,LOW,23
COA-7,2026-09-02,1,STN_A-STN_B,UP_MAIN,2026-09-02 01:45,2026-09-02 05:45,240,LOW,21
COA-8,2026-09-02,1,STN_A-STN_B,DN_MAIN,2026-09-02 12:09,2026-09-02 16:09,240,LOW,21
COA-9,2026-09-02,1,STN_B-STN_C,UP_MAIN,2026-09-02 12:19,2026-09-02 16:19,240,MEDIUM,24
COA-10,2026-09-02,1,STN_B-STN_C,DN_MAIN,2026-09-02 12:36,2026-09-02 16:36,240,MEDIUM,24
COA-11,2026-09-02,1,STN_C-STN_D,UP_MAIN,2026-09-02 00:00,2026-09-02 04:00,240,LOW,18
COA-12,2026-09-02,1,STN_C-STN_D,DN_MAIN,2026-09-02 00:00,2026-09-02 04:00,240,LOW,18
COA-13,2026-09-03,1,STN_A-STN_B,UP_MAIN,2026-09-03 18:11,2026-09-03 22:11,240,MEDIUM,25
COA-14,2026-09-03,1,STN_A-STN_B,DN_MAIN,2026-09-03 00:58,2026-09-03 04:24,206,MEDIUM,25
COA-15,2026-09-03,1,STN_B-STN_C,UP_MAIN,2026-09-03 01:45,2026-09-03 05:45,240,LOW,20
COA-16,2026-09-03,1,STN_B-STN_C,DN_MAIN,2026-09-03 06:06,2026-09-03 10:06,240,LOW,20
COA-17,2026-09-03,1,STN_C-STN_D,UP_MAIN,2026-09-03 12:07,2026-09-03 16:07,240,MEDIUM,25
COA-18,2026-09-03,1,STN_C-STN_D,DN_MAIN,2026-09-03 06:17,2026-09-03 10:17,240,MEDIUM,25
COA-19,2026-09-04,1,STN_A-STN_B,UP_MAIN,2026-09-04 00:00,2026-09-04 04:00,240,LOW,19
COA-20,2026-09-04,1,STN_A-STN_B,DN_MAIN,2026-09-04 05:32,2026-09-04 09:32,240,LOW,19
COA-21,2026-09-04,1,STN_B-STN_C,UP_MAIN,2026-09-04 01:30,2026-09-04 05:08,218,HIGH,27
COA-22,2026-09-04,1,STN_B-STN_C,DN_MAIN,2026-09-04 12:08,2026-09-04 16:08,240,HIGH,27
COA-23,2026-09-04,1,STN_C-STN_D,UP_MAIN,2026-09-04 10:42,2026-09-04 14:42,240,HIGH,27
COA-24,2026-09-04,1,STN_C-STN_D,DN_MAIN,2026-09-04 10:13,2026-09-04 14:01,228,HIGH,27
COA-25,2026-09-05,1,STN_A-STN_B,UP_MAIN,2026-09-05 00:00,2026-09-05 03:42,222,HIGH,32
COA-26,2026-09-05,1,STN_A-STN_B,DN_MAIN,2026-09-05 00:00,2026-09-05 03:10,190,HIGH,32
COA-27,2026-09-05,1,STN_B-STN_C,UP_MAIN,2026-09-05 05:09,2026-09-05 09:09,240,LOW,23
COA-28,2026-09-05,1,STN_B-STN_C,DN_MAIN,2026-09-05 08:54,2026-09-05 12:54,240,LOW,23
COA-29,2026-09-05,1,STN_C-STN_D,UP_MAIN,2026-09-05 08:27,2026-09-05 12:27,240,HIGH,31
COA-30,2026-09-05,1,STN_C-STN_D,DN_MAIN,2026-09-05 08:21,2026-09-05 12:01,220,HIGH,31
COA-31,2026-09-06,1,STN_A-STN_B,UP_MAIN,2026-09-06 05:02,2026-09-06 08:38,216,HIGH,31
COA-32,2026-09-06,1,STN_A-STN_B,DN_MAIN,2026-09-06 13:54,2026-09-06 17:54,240,HIGH,31
COA-33,2026-09-06,1,STN_B-STN_C,UP_MAIN,2026-09-06 15:28,2026-09-06 19:28,240,MEDIUM,24
COA-34,2026-09-06,1,STN_B-STN_C,DN_MAIN,2026-09-06 14:10,2026-09-06 18:10,240,MEDIUM,24
COA-35,2026-09-06,1,STN_C-STN_D,UP_MAIN,2026-09-06 03:27,2026-09-06 07:27,240,MEDIUM,24
COA-36,2026-09-06,1,STN_C-STN_D,DN_MAIN,2026-09-06 15:35,2026-09-06 19:35,240,MEDIUM,24
COA-37,2026-09-07,1,STN_A-STN_B,UP_MAIN,2026-09-07 04:54,2026-09-07 08:54,240,HIGH,27
COA-38,2026-09-07,1,STN_A-STN_B,DN_MAIN,2026-09-07 04:39,2026-09-07 08:39,240,HIGH,27
COA-39,2026-09-07,1,STN_B-STN_C,UP_MAIN,2026-09-07 10:32,2026-09-07 14:32,240,HIGH,29
COA-40,2026-09-07,1,STN_B-STN_C,DN_MAIN,2026-09-07 02:37,2026-09-07 06:37,240,HIGH,29
COA-41,2026-09-07,1,STN_C-STN_D,UP_MAIN,2026-09-07 00:00,2026-09-07 04:00,240,MEDIUM,25
COA-42,2026-09-07,1,STN_C-STN_D,DN_MAIN,2026-09-07 11:22,2026-09-07 15:22,240,MEDIUM,25
COA-43,2026-09-08,2,STN_A-STN_B,UP_MAIN,2026-09-08 08:23,2026-09-08 12:23,240,MEDIUM,24
COA-44,2026-09-08,2,STN_A-STN_B,DN_MAIN,2026-09-08 20:06,2026-09-09 00:00,234,MEDIUM,24
COA-45,2026-09-08,2,STN_B-STN_C,UP_MAIN,2026-09-08 04:31,2026-09-08 08:31,240,MEDIUM,24
COA-46,2026-09-08,2,STN_B-STN_C,DN_MAIN,2026-09-08 05:47,2026-09-08 09:47,240,MEDIUM,24
COA-47,2026-09-08,2,STN_C-STN_D,UP_MAIN,2026-09-08 09:13,2026-09-08 12:20,187,MEDIUM,24
COA-48,2026-09-08,2,STN_C-STN_D,DN_MAIN,2026-09-08 00:00,2026-09-08 04:00,240,MEDIUM,24
COA-49,2026-09-09,2,STN_A-STN_B,UP_MAIN,2026-09-09 10:52,2026-09-09 14:52,240,HIGH,29
COA-50,2026-09-09,2,STN_A-STN_B,DN_MAIN,2026-09-09 19:49,2026-09-09 23:49,240,HIGH,29
COA-51,2026-09-09,2,STN_B-STN_C,UP_MAIN,2026-09-09 08:24,2026-09-09 12:19,235,MEDIUM,24
COA-52,2026-09-09,2,STN_B-STN_C,DN_MAIN,2026-09-09 16:27,2026-09-09 20:27,240,MEDIUM,24
COA-53,2026-09-09,2,STN_C-STN_D,UP_MAIN,2026-09-09 06:33,2026-09-09 09:44,191,MEDIUM,25
COA-54,2026-09-09,2,STN_C-STN_D,DN_MAIN,2026-09-09 17:27,2026-09-09 21:27,240,MEDIUM,25
COA-55,2026-09-10,2,STN_A-STN_B,UP_MAIN,2026-09-10 10:00,2026-09-10 14:00,240,HIGH,30
COA-56,2026-09-10,2,STN_A-STN_B,DN_MAIN,2026-09-10 16:05,2026-09-10 20:05,240,HIGH,30
COA-57,2026-09-10,2,STN_B-STN_C,UP_MAIN,2026-09-10 09:22,2026-09-10 13:22,240,MEDIUM,24
COA-58,2026-09-10,2,STN_B-STN_C,DN_MAIN,2026-09-10 08:56,2026-09-10 12:56,240,MEDIUM,24
COA-59,2026-09-10,2,STN_C-STN_D,UP_MAIN,2026-09-10 04:52,2026-09-10 08:52,240,HIGH,26
COA-60,2026-09-10,2,STN_C-STN_D,DN_MAIN,2026-09-10 13:18,2026-09-10 17:18,240,HIGH,26
COA-61,2026-09-11,2,STN_A-STN_B,UP_MAIN,2026-09-11 10:41,2026-09-11 14:41,240,HIGH,29
