forecast_id,date,section,line,window_start,window_end,train_type,forecast_priority
GDS-1,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 17:32,2026-09-01 17:52,GOODS,HIGH
GDS-2,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 05:42,2026-09-01 06:02,GOODS,HIGH
GDS-3,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 07:11,2026-09-01 07:36,GOODS,MEDIUM
GDS-4,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 03:32,2026-09-01 03:57,GOODS,MEDIUM
GDS-5,2026-09-01,STN_A-STN_B,DN_MAIN,2026-09-01 23:25,2026-09-01 23:50,GOODS,HIGH
GDS-6,2026-09-01,STN_A-STN_B,DN_MAIN,2026-09-01 15:40,2026-09-01 16:10,GOODS,HIGH
GDS-7,2026-09-01,STN_B-STN_C,UP_MAIN,2026-09-01 02:30,2026-09-01 02:50,GOODS,HIGH
GDS-8,2026-09-01,STN_B-STN_C,UP_MAIN,2026-09-01 08:35,2026-09-01 08:55,GOODS,HIGH
GDS-9,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 13:54,2026-09-01 14:39,GOODS,MEDIUM
GDS-10,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 21:30,2026-09-01 22:15,GOODS,MEDIUM
GDS-11,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 10:47,2026-09-01 11:07,GOODS,MEDIUM
GDS-12,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 22:58,2026-09-01 23:18,GOODS,HIGH
GDS-13,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 19:59,2026-09-01 20:19,GOODS,HIGH
GDS-14,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 12:12,2026-09-01 12:32,GOODS,MEDIUM
GDS-15,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 20:42,2026-09-01 21:02,GOODS,MEDIUM
GDS-16,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 14:56,2026-09-01 15:41,GOODS,MEDIUM
GDS-17,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 22:33,2026-09-01 22:53,GOODS,MEDIUM
GDS-18,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 05:20,2026-09-01 05:45,GOODS,HIGH
GDS-19,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 18:37,2026-09-02 19:07,GOODS,HIGH
GDS-20,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 10:10,2026-09-02 10:40,GOODS,HIGH
GDS-21,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 18:53,2026-09-02 19:18,GOODS,HIGH
GDS-22,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 01:25,2026-09-02 01:45,GOODS,MEDIUM
GDS-23,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 18:20,2026-09-02 18:40,GOODS,MEDIUM
GDS-24,2026-09-02,STN_A-STN_B,DN_MAIN,2026-09-02 11:44,2026-09-02 12:09,GOODS,MEDIUM
GDS-25,2026-09-02,STN_A-STN_B,DN_MAIN,2026-09-02 22:02,2026-09-02 22:27,GOODS,HIGH
GDS-26,2026-09-02,STN_A-STN_B,DN_MAIN,2026-09-02 06:16,2026-09-02 06:41,GOODS,MEDIUM
GDS-27,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 03:54,2026-09-02 04:19,GOODS,HIGH
GDS-28,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 18:44,2026-09-02 19:29,GOODS,HIGH
GDS-29,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 09:55,2026-09-02 10:15,GOODS,MEDIUM
GDS-30,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 06:44,2026-09-02 07:29,GOODS,MEDIUM
GDS-31,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 12:11,2026-09-02 12:36,GOODS,HIGH
GDS-32,2026-09-02,STN_C-STN_D,UP_MAIN,2026-09-02 09:43,2026-09-02 10:03,GOODS,HIGH
GDS-33,2026-09-02,STN_C-STN_D,UP_MAIN,2026-09-02 10:50,2026-09-02 11:35,GOODS,MEDIUM
GDS-34,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 21:02,2026-09-02 21:32,GOODS,HIGH
GDS-35,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 19:18,2026-09-02 19:48,GOODS,MEDIUM
GDS-36,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 14:37,2026-09-02 15:02,GOODS,HIGH
GDS-37,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 10:41,2026-09-02 11:06,GOODS,HIGH
GDS-38,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 09:26,2026-09-03 09:56,GOODS,HIGH
GDS-39,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 23:11,2026-09-03 23:41,GOODS,MEDIUM
GDS-40,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 15:47,2026-09-03 16:32,GOODS,MEDIUM
GDS-41,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 10:25,2026-09-03 11:10,GOODS,HIGH
