task_id,dept,criticality_score,duration_mins,corridor_id,block_section,line,window_start,window_end,status,rly,div,direction,block_demand_date,is_block_integrated,integrated_department,integration_fulfilled,enforcement_condition,use_corridor,reason_code,week
SMM-457,SMMS,92.69999694824219,30,STANDALONE-SMM-457,STN_B-STN_C,DN_MAIN,2026-09-01 00:00,2026-09-01 00:30,SCHEDULED (Standalone — dedicated possession),NR,DLI,DOWN,2026-09-01,False,,False,Flexible,False,STATUTORY_SAFETY_INSPECTION,1
TDM-1029,TDMS,88.9000015258789,120,STANDALONE-TDM-1029,STN_A-STN_B,UP_MAIN,2026-09-01 00:00,2026-09-01 02:00,SCHEDULED (Standalone — dedicated possession),NR,DLI,UP,2026-09-01,True,TMS,False,Flexible,False,STATUTORY_SAFETY_INSPECTION,1
SMM-469,SMMS,71.4000015258789,30,STANDALONE-SMM-469,STN_C-STN_D,UP_MAIN,2026-09-01 00:00,2026-09-01 00:30,SCHEDULED (Standalone — dedicated possession),NR,DLI,UP,2026-09-01,False,,False,Flexible,False,STATUTORY_SAFETY_INSPECTION,1
SMM-447,SMMS,69.5999984741211,45,STANDALONE-SMM-447,STN_B-STN_C,DN_MAIN,2026-09-01 00:00,2026-09-01 00:45,SCHEDULED (Standalone — dedicated possession),NR,DLI,DOWN,2026-09-01,True,TDMS,False,Flexible,False,PLANNED_MAINTENANCE,1
TDM-1033,TDMS,61.29999923706055,60,STANDALONE-TDM-1033,STN_A-STN_B,UP_MAIN,2026-09-01 00:00,2026-09-01 01:00,SCHEDULED (Standalone — dedicated possession),NR,DLI,UP,2026-09-01,False,,False,Flexible,False,PERIODIC_INSPECTION,1
TDM-1041,TDMS,47.099998474121094,90,STANDALONE-TDM-1041,STN_A-STN_B,UP_MAIN,2026-09-11 00:00,2026-09-11 01:30,SCHEDULED (Standalone — dedicated possession),NR,DLI,UP,2026-09-11,False,,False,Flexible,False,PERIODIC_INSPECTION,1
TMS-8013,TMS,44.900001525878906,150,STANDALONE-TMS-8013,STN_C-STN_D,DN_MAIN,2026-09-10 00:00,2026-09-10 02:30,SCHEDULED (Standalone — dedicated possession),NR,DLI,DOWN,2026-09-10,True,SMMS,False,Fixed Time Slot,False,PERIODIC_INSPECTION,1
TMS-8008,TMS,44.29999923706055,90,STANDALONE-TMS-8008,STN_A-STN_B,UP_MAIN,2026-09-04 00:00,2026-09-04 01:30,SCHEDULED (Standalone — dedicated possession),NR,DLI,UP,2026-09-04,False,,False,Flexible,False,PERIODIC_INSPECTION,1
TMS-8025,TMS,43.70000076293945,120,STANDALONE-TMS-8025,STN_A-STN_B,UP_MAIN,2026-09-09 00:00,2026-09-09 02:00,SCHEDULED (Standalone — dedicated possession),NR,DLI,UP,2026-09-09,False,,False,Flexible,False,PERIODIC_INSPECTION,1
TMS-8000,TMS,40.20000076293945,180,STANDALONE-TMS-8000,STN_A-STN_B,UP_MAIN,2026-09-11 00:00,2026-09-11 03:00,SCHEDULED (Standalone — dedicated possession),NR,DLI,UP,2026-09-11,True,TDMS,False,Fixed Time Slot,False,PERIODIC_INSPECTION,1
TDM-1038,TDMS,100.0,120,COA-28,STN_B-STN_C,DN_MAIN,2026-09-05 08:54,2026-09-05 12:54,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TDM-1022,TDMS,98.0,120,COA-22,STN_B-STN_C,DN_MAIN,2026-09-04 12:08,2026-09-04 16:08,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,True,SMMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8020,TMS,95.80000305175781,60,COA-6,STN_C-STN_D,DN_MAIN,2026-09-01 15:44,2026-09-01 19:44,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION,1
TDM-1024,TDMS,91.19999694824219,120,COA-7,STN_A-STN_B,UP_MAIN,2026-09-02 01:45,2026-09-02 05:45,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TMS,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TDM-1034,TDMS,90.0999984741211,60,COA-10,STN_B-STN_C,DN_MAIN,2026-09-02 12:36,2026-09-02 16:36,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,True,TMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8031,TMS,89.30000305175781,120,COA-4,STN_B-STN_C,DN_MAIN,2026-09-01 06:05,2026-09-01 09:03,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION,1
