ticket_id,date_reported,power_sector,elementary_sec,mast_id,issue,isolation_req,asset_age_years,duration_mins,due_date,available_from_week,is_emergency,rly,div,direction,block_demand_date,is_block_integrated,integrated_department,enforcement_condition,use_corridor,reason_code
TDM-1020,2026-08-08,SUB_NORTH,ES-14,142/18,Cantilever Insulator Flash,NONE,27,60,2026-08-29,1,False,NR,DLI,UP,2026-09-01,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1021,2026-08-14,SUB_NORTH,ES-17,143/04,OHE Tension Low,NONE,3,120,2026-09-04,1,False,NR,DLI,UP,2026-09-04,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1022,2026-08-17,SUB_SOUTH,ES-18,158/10,Cantilever Insulator Flash,POWER_BLOCK,27,120,2026-08-20,1,False,NR,DLI,DOWN,2026-09-01,True,SMMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1023,2026-08-12,SUB_SOUTH,ES-16,170/02,Cantilever Insulator Flash,NONE,15,60,2026-09-02,1,False,NR,DLI,UP,2026-09-02,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1024,2026-08-12,SUB_NORTH,ES-14,142/18,Bird Nest Removal,POWER_BLOCK,5,120,2026-08-15,1,False,NR,DLI,UP,2026-09-01,True,TMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1025,2026-08-26,SUB_NORTH,ES-11,143/04,Dropper Wire Snapped,POWER_BLOCK,15,120,2026-08-29,1,False,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1026,2026-08-22,SUB_SOUTH,ES-18,158/10,Dropper Wire Snapped,NONE,15,120,2026-09-12,1,False,NR,DLI,DOWN,2026-09-12,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1027,2026-08-13,SUB_SOUTH,ES-10,170/02,OHE Tension Low,NONE,9,90,2026-09-03,1,False,NR,DLI,UP,2026-09-03,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1028,2026-08-18,SUB_NORTH,ES-18,142/18,Bird Nest Removal,NONE,11,120,2026-09-08,1,False,NR,DLI,UP,2026-09-08,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1029,2026-08-16,SUB_NORTH,ES-15,143/04,Bird Nest Removal,POWER_BLOCK,2,120,2026-08-19,1,False,NR,DLI,UP,2026-09-01,True,TMS,Flexible,False,STATUTORY_SAFETY_INSPECTION
TDM-1030,2026-08-15,SUB_SOUTH,ES-18,158/10,Bird Nest Removal,NONE,4,45,2026-09-05,1,False,NR,DLI,DOWN,2026-09-05,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1031,2026-08-21,SUB_SOUTH,ES-19,170/02,Bird Nest Removal,NONE,11,45,2026-09-11,1,False,NR,DLI,UP,2026-09-11,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1032,2026-08-14,SUB_NORTH,ES-18,142/18,Cantilever Insulator Flash,NONE,28,45,2026-09-04,1,False,NR,DLI,UP,2026-09-04,True,SMMS,Flexible,True,PERIODIC_INSPECTION
TDM-1033,2026-08-07,SUB_NORTH,ES-11,143/04,Bird Nest Removal,NONE,28,60,2026-08-28,1,False,NR,DLI,UP,2026-09-01,False,,Flexible,False,PERIODIC_INSPECTION
TDM-1034,2026-08-16,SUB_SOUTH,ES-13,158/10,Bird Nest Removal,POWER_BLOCK,5,60,2026-08-19,1,False,NR,DLI,DOWN,2026-09-01,True,TMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1035,2026-08-11,SUB_SOUTH,ES-13,170/02,Bird Nest Removal,NONE,5,90,2026-09-01,1,False,NR,DLI,UP,2026-09-01,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1036,2026-08-24,SUB_NORTH,ES-17,142/18,OHE Tension Low,NONE,3,90,2026-09-14,1,False,NR,DLI,UP,2026-09-14,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1037,2026-08-14,SUB_NORTH,ES-13,143/04,Bird Nest Removal,NONE,4,90,2026-09-04,1,False,NR,DLI,UP,2026-09-04,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1038,2026-08-11,SUB_SOUTH,ES-20,158/10,Cantilever Insulator Flash,POWER_BLOCK,28,120,2026-08-14,1,False,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1039,2026-08-23,SUB_SOUTH,ES-14,170/02,Dropper Wire Snapped,POWER_BLOCK,20,45,2026-08-26,1,False,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1040,2026-08-25,SUB_NORTH,ES-14,142/18,OHE Tension Low,NONE,3,120,2026-09-15,1,False,NR,DLI,UP,2026-09-15,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1041,2026-08-21,SUB_NORTH,ES-17,143/04,OHE Tension Low,NONE,30,90,2026-09-11,1,False,NR,DLI,UP,2026-09-11,False,,Flexible,False,PERIODIC_INSPECTION
TDM-1042,2026-08-12,SUB_SOUTH,ES-11,158/10,Bird Nest Removal,NONE,12,45,2026-09-02,1,False,NR,DLI,DOWN,2026-09-02,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1043,2026-08-09,SUB_SOUTH,ES-11,170/02,Dropper Wire Snapped,NONE,12,120,2026-08-30,1,False,NR,DLI,UP,2026-09-01,True,SMMS,Flexible,True,PERIODIC_INSPECTION
TDM-1044,2026-08-20,SUB_NORTH,ES-16,142/18,Cantilever Insulator Flash,NONE,21,60,2026-09-10,1,False,NR,DLI,UP,2026-09-10,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1045,2026-09-15,SUB_NORTH,ES-18,143/04,Dropper Wire Snapped,POWER_BLOCK,29,120,2026-09-18,3,True,NR,DLI,UP,2026-09-18,False,,Fixed Time Slot,True,EMERGENCY_REPAIR
TDM-1046,2026-09-22,SUB_SOUTH,ES-12,158/10,Bird Nest Removal,POWER_BLOCK,19,45,2026-09-25,4,True,NR,DLI,DOWN,2026-09-25,False,,Fixed Time Slot,True,EMERGENCY_REPAIR
