defect_id,date_reported,section,line_type,start_km,end_km,defect_type,severity,asset_age_years,est_duration_mins,due_date,available_from_week,is_emergency,rly,div,direction,block_demand_date,is_block_integrated,integrated_department,enforcement_condition,use_corridor,reason_code
TMS-8000,2026-08-21,STN_A-STN_B,UP_MAIN,142.1,142.1,Rail Fracture,ROUTINE,15,180,2026-09-11,1,False,NR,DLI,UP,2026-09-11,True,TDMS,Fixed Time Slot,False,PERIODIC_INSPECTION
TMS-8001,2026-08-23,STN_B-STN_C,DN_MAIN,142.15,142.15,Fishplate Loose,ROUTINE,15,120,2026-09-13,1,False,NR,DLI,DOWN,2026-09-13,False,,Fixed Time Slot,True,PERIODIC_INSPECTION
TMS-8002,2026-08-25,STN_A-STN_B,UP_MAIN,169.0,169.1,Rail Fracture,URGENT,22,150,2026-09-01,1,False,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,PLANNED_MAINTENANCE
TMS-8003,2026-08-27,STN_B-STN_C,DN_MAIN,169.0,169.0,Fishplate Loose,URGENT,40,90,2026-09-03,1,False,NR,DLI,DOWN,2026-09-03,False,,Fixed Time Slot,True,PLANNED_MAINTENANCE
TMS-8004,2026-08-26,STN_B-STN_C,DN_MAIN,150.129,150.129,Weld Failure,CRITICAL,18,90,2026-08-29,1,False,NR,DLI,DOWN,2026-09-01,True,SMMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8005,2026-08-09,STN_C-STN_D,UP_MAIN,163.924,163.924,Ballast Fouling,ROUTINE,35,90,2026-08-30,1,False,NR,DLI,UP,2026-09-01,False,,Flexible,True,PERIODIC_INSPECTION
TMS-8006,2026-08-22,STN_B-STN_C,UP_MAIN,147.687,147.787,Weld Failure,CRITICAL,21,60,2026-08-25,1,False,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8007,2026-08-21,STN_C-STN_D,UP_MAIN,170.964,171.264,Fishplate Loose,CRITICAL,16,180,2026-08-24,1,False,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8008,2026-08-14,STN_A-STN_B,UP_MAIN,147.676,147.726,Ballast Fouling,ROUTINE,4,90,2026-09-04,1,False,NR,DLI,UP,2026-09-04,False,,Flexible,False,PERIODIC_INSPECTION
TMS-8009,2026-08-21,STN_C-STN_D,UP_MAIN,153.357,153.657,Fishplate Loose,ROUTINE,8,120,2026-09-11,1,False,NR,DLI,UP,2026-09-11,False,,Flexible,True,PERIODIC_INSPECTION
