train_id,date,section,line,dep_time,arr_time,train_type
PSG-1,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 01:07,2026-09-01 01:19,PASSENGER
PSG-2,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 07:24,2026-09-01 07:39,PASSENGER
PSG-3,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 15:10,2026-09-01 15:20,PASSENGER
PSG-4,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 12:22,2026-09-01 12:30,PASSENGER
PSG-5,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 23:24,2026-09-01 23:36,PASSENGER
PSG-6,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 18:35,2026-09-01 18:47,PASSENGER
PSG-7,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 02:04,2026-09-01 02:19,PASSENGER
PSG-8,2026-09-01,STN_A-STN_B,UP_MAIN,2026-09-01 09:25,2026-09-01 09:35,PASSENGER
PSG-9,2026-09-01,STN_A-STN_B,DN_MAIN,2026-09-01 15:31,2026-09-01 15:39,PASSENGER
PSG-10,2026-09-01,STN_A-STN_B,DN_MAIN,2026-09-01 22:37,2026-09-01 22:47,PASSENGER
PSG-11,2026-09-01,STN_A-STN_B,DN_MAIN,2026-09-01 21:54,2026-09-01 22:02,PASSENGER
PSG-12,2026-09-01,STN_A-STN_B,DN_MAIN,2026-09-01 01:43,2026-09-01 01:55,PASSENGER
PSG-13,2026-09-01,STN_A-STN_B,DN_MAIN,2026-09-01 08:18,2026-09-01 08:28,PASSENGER
PSG-14,2026-09-01,STN_A-STN_B,DN_MAIN,2026-09-01 19:16,2026-09-01 19:26,PASSENGER
PSG-15,2026-09-01,STN_B-STN_C,UP_MAIN,2026-09-01 18:55,2026-09-01 19:05,PASSENGER
PSG-16,2026-09-01,STN_B-STN_C,UP_MAIN,2026-09-01 20:00,2026-09-01 20:10,PASSENGER
PSG-17,2026-09-01,STN_B-STN_C,UP_MAIN,2026-09-01 07:57,2026-09-01 08:09,PASSENGER
PSG-18,2026-09-01,STN_B-STN_C,UP_MAIN,2026-09-01 05:02,2026-09-01 05:10,PASSENGER
