task_id,dept,severity,duration_mins,asset_age_years,coa_section,line,start_km,end_km,date_reported,due_date,available_from_week,is_emergency,power_block_required,defect_type,rly,div,direction,block_demand_date,is_block_integrated,integrated_department,enforcement_condition,use_corridor,reason_code
TMS-8000,TMS,ROUTINE,180,15,STN_A-STN_B,UP_MAIN,142.1,142.1,2026-08-21,2026-09-11,1,False,False,Rail Fracture,NR,DLI,UP,2026-09-11,True,TDMS,Fixed Time Slot,False,PERIODIC_INSPECTION
TMS-8001,TMS,ROUTINE,120,15,STN_A-STN_B,DN_MAIN,142.15,142.15,2026-08-23,2026-09-13,1,False,False,Fishplate Loose,NR,DLI,DOWN,2026-09-13,False,,Fixed Time Slot,True,PERIODIC_INSPECTION
TMS-8002,TMS,URGENT,150,22,STN_C-STN_D,UP_MAIN,169.0,169.1,2026-08-25,2026-09-01,1,False,False,Rail Fracture,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,PLANNED_MAINTENANCE
TMS-8003,TMS,URGENT,90,40,STN_C-STN_D,DN_MAIN,169.0,169.0,2026-08-27,2026-09-03,1,False,False,Fishplate Loose,NR,DLI,DOWN,2026-09-03,False,,Fixed Time Slot,True,PLANNED_MAINTENANCE
TMS-8004,TMS,CRITICAL,90,18,STN_B-STN_C,DN_MAIN,150.129,150.129,2026-08-26,2026-08-29,1,False,False,Weld Failure,NR,DLI,DOWN,2026-09-01,True,SMMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8005,TMS,ROUTINE,90,35,STN_B-STN_C,UP_MAIN,163.924,163.924,2026-08-09,2026-08-30,1,False,False,Ballast Fouling,NR,DLI,UP,2026-09-01,False,,Flexible,True,PERIODIC_INSPECTION
TMS-8006,TMS,CRITICAL,60,21,STN_A-STN_B,UP_MAIN,147.687,147.787,2026-08-22,2026-08-25,1,False,False,Weld Failure,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8007,TMS,CRITICAL,180,16,STN_C-STN_D,UP_MAIN,170.964,171.264,2026-08-21,2026-08-24,1,False,False,Fishplate Loose,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8008,TMS,ROUTINE,90,4,STN_A-STN_B,UP_MAIN,147.676,147.726,2026-08-14,2026-09-04,1,False,False,Ballast Fouling,NR,DLI,UP,2026-09-04,False,,Flexible,False,PERIODIC_INSPECTION
TMS-8009,TMS,ROUTINE,120,8,STN_B-STN_C,UP_MAIN,153.357,153.657,2026-08-21,2026-09-11,1,False,False,Fishplate Loose,NR,DLI,UP,2026-09-11,False,,Flexible,True,PERIODIC_INSPECTION
TMS-8010,TMS,ROUTINE,180,33,STN_A-STN_B,UP_MAIN,145.536,145.536,2026-08-21,2026-09-11,1,False,False,Weld Failure,NR,DLI,UP,2026-09-11,False,,Flexible,True,PERIODIC_INSPECTION
TMS-8011,TMS,ROUTINE,120,2,STN_C-STN_D,DN_MAIN,167.252,167.252,2026-08-19,2026-09-09,1,False,False,Weld Failure,NR,DLI,DOWN,2026-09-09,True,SMMS,Flexible,True,PERIODIC_INSPECTION
